Title,Type,Volumes,Members,Score
Hanasaki Sentimental,Manga,1,768,6.89
Roppyaku Page no Mystery,Manga,1,672,6.89
"Douse, Koishite Shimaunda.",Manga,NULL,1985,6.89
Maou Kyoudai,Manga,4,1592,6.89
Kareshi ni Donbiki saretai Minamoto-san,One-shot,NULL,781,6.89
Mikami-kun no Himitsu,One-shot,NULL,1136,6.89
Hinowa ga Yuku!,Manga,8,8816,6.89
Rental Kanojo Tsukita-san,Manga,2,1604,6.89
Torikago no Tsugai,Manga,4,6099,6.89
Lv999 no Murabito,Manga,NULL,22420,6.89
Princess no Shitsuren,Manga,1,597,6.89
[Shinyaku] Mahou Shoujo Oriko★Magica: Sadness Prayer,Manga,4,1147,6.89
Tobari,One-shot,NULL,407,6.89
Furuya-sensei wa An-chan no Mono,Manga,12,1786,6.89
Yankee-kun na Yamada-kun to Megane-chan to Majo,One-shot,NULL,3147,6.89
Daikenja no Manadeshi: Bougyo Mahou no Susume @comic,Manga,NULL,1060,6.89
Sasori,Manga,11,874,6.89
Kiss Me Baby,Manga,1,1123,6.89
"Maoyuu 4-koma: Muitemasen yo, Maou-sama!",Manga,3,898,6.88
Be Born Again,Manhwa,NULL,552,6.88
Gunjou - Ai ga Shizunda Umi no Iro,Manga,1,436,6.88
Imomushi,Manga,1,2238,6.88
Shitsuji-tachi no Chinmoku,Manga,13,2779,6.88
Paros no Ken,Manga,3,1283,6.88
The Villain's Savior,Manhwa,NULL,4140,6.88
Hikoutei Jidai,Manga,1,893,6.88
Renai nante Itashimasen!,Manga,1,1009,6.88
Million Girl,Manga,3,2216,6.88
Shinmai Maou no Testament: Sweet!,Light-Novel,1,719,6.88
Shirayuki Poppu,One-shot,NULL,1590,6.88
Kimi wa Kawaii Hito,One-shot,NULL,1052,6.88
Ice Kiss,Manhwa,6,526,6.88
Michiwarikusa Monogatari,Manga,2,1100,6.88
Gekijouban Naruto: Dai Gekitotsu! Maboroshi no Chitei Iseki Datteba yo,Light-Novel,1,547,6.88
Shuugaku Ryokou no Susume☆,One-shot,NULL,507,6.88
"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀",Light-Novel,NULL,1645,6.88
Don't Cheat on Me!,Manhwa,12,429,6.88
Renai Shijou Shugi,Manga,8,9070,6.88
Chiisana Mori no Ookami-chan,Manga,2,898,6.88
A World Without You,Manhwa,NULL,641,6.88
Motoka no★Shokudou,Manga,2,375,6.88
Tokyo-hatsu Isekai-yuki,Manga,1,1490,6.88
Meikyuu Black Company,Manga,NULL,7096,6.88
Zig☆Zag Don,Manga,6,1337,6.88
Mononofu,Manga,5,2107,6.88
Koi wa Hikari,Manga,7,2256,6.88
Survival: Another Story,Manga,1,427,6.88
Ubunchu!,Manga,1,1259,6.88
Kimi to Aoi Haru no Hajimari,Manga,5,1197,6.88
Coquelicot-zaka kara,Manga,2,503,6.88
Tokyo ESP x Ga-Rei: Shadow Walker,Manga,1,1254,6.88
Tabecha Dame,Manga,1,1646,6.88
"Nee, Mou Isso TsukiacchauNULL Osananajimi no Bishoujo ni Tanomarete, Camouflage Kareshi Hajimemashita",Manga,NULL,1333,6.88
Yoiko-kei Furyou Succubus Saki-chan,Manga,2,2550,6.88
Mutant Sabu,Manga,3,296,6.88
Akuma to Duet,Manga,1,4331,6.88
Memento Mori,Manga,1,1420,6.88
Soul Cartel,Manhwa,NULL,427,6.88
Aoi-sensei wa Shishunki,Manga,2,447,6.88
Otogi Taisen Phantasma,Manga,3,1611,6.88
Koi to Yokubou no Susume,Manga,1,3175,6.88
Sekimen Shinaide Sekime-san,Manga,3,16175,6.88
Boukenka ni Narou!: Skill Board de Dungeon Kouryaku,Manga,NULL,4068,6.88
Boku wa Uchuujin ni Koi wo Shita.,Manga,1,1447,6.88
Kimi to Eureka,Manga,4,2101,6.88
Holy Glory,Manga,1,944,6.88
Kouga-san no Kami Guse,Manga,3,3410,6.88
Shitsuji Shoujo to Ojousama,Manga,2,2137,6.88
Yu☆Gi☆Oh! Arc-V,Manga,7,2527,6.88
Inakami,Manga,NULL,649,6.88
Spicy Fever,One-shot,NULL,955,6.88
Love Scar,Manga,2,710,6.88
Gekijou Komoriuta,Manga,2,3903,6.88
Nana Yuri,Manga,1,1240,6.88
Bleach: Beginning of the Revive of Tomorrow,Light-Novel,NULL,790,6.88
Isekai Shihai no Skill Taker: Zero kara Hajimeru Dorei Harem,Light-Novel,NULL,2453,6.88
Rose Guns Days: Season 2,Manga,3,515,6.88
Papa no Iukoto wo Kikinasai!: Miu-sama no Iutoori,Manga,1,1051,6.88
Magetsukan Kitan,Manga,5,3597,6.88
The Ideal Relationship,Manhwa,NULL,397,6.88
Blood-C: Izayoi Kitan,Manga,2,1346,6.88
Kimi Shi ni Tamau Koto Nakare,Manga,10,7665,6.88
Aoyama Gosho Tanpenshuu,Manga,1,551,6.88
Black-Box,Manga,6,1712,6.88
Touzandou Tentsui Ibun,Manga,2,680,6.88
Watashitachi no Himitsu Jijou,Manga,6,523,6.88
King of Eden,Manhwa,6,1375,6.88
MIXiM★11,Manga,12,2948,6.88
Lady Chef Royale,Manhwa,NULL,1499,6.88
Aitsu ni Koishita 4-ttsu no Wake,Manga,1,1134,6.88
Motokare ga Fudanshi ni Natteorimashite.,Manga,7,794,6.88
Chouko to Ippon Shoubu nanoda!,One-shot,NULL,728,6.88
Zelda no Densetsu: Kamigami no Triforce (1992),Manga,1,2438,6.88
Majo wa Nido Aegu,Manga,6,557,6.88
Hakka Shoujo,Manga,5,563,6.88
Kando-chan ni wa Sawaccha Dame!,Manga,NULL,525,6.88
"Omiai Shitakunakatta node, Murinandai na Jouken wo Tsuketara Doukyuusei ga Kita Ken ni Tsuite",Manga,NULL,706,6.88
Kimi dake ni Focus,One-shot,NULL,1068,6.88
Mofumofu to Isekai Slow Life wo Mezashimasu!,Manga,NULL,2772,6.88
Kaimetsuou to 12-nin no Hoshi no Miko,Manga,6,3900,6.88
Omae Watashi no Koto Suki daro,One-shot,NULL,786,6.88
Mobile Suit Gundam SEED Destiny,Manga,4,957,6.88
Ueno-san wa Bukiyou,Manga,10,5933,6.88
Shimauma,Manga,NULL,1347,6.88
ChunRangYulJun,Manhwa,10,660,6.88
Ghost wa Kiss wo Kirau,Manga,1,808,6.88
Dominion C1 Conflict,Manga,1,833,6.88
Threads of Love,Manhwa,NULL,564,6.88
Mamahaha no Tsurego ga Motokano datta,Manga,NULL,8504,6.88
Natsu no Omoide,One-shot,NULL,385,6.88
Yoru no Sakana,Manga,1,483,6.88
Tsukiiro no Invader,Manga,2,1586,6.88
Yankee wa Isekai de Seirei ni Aisaremasu.,Light-Novel,NULL,569,6.88
Tenshi no Kokoro de,Manga,3,421,6.88
Ai♥Heya,Manga,1,397,6.88
Rokuyoku,One-shot,NULL,1471,6.88
Dear Nemesis,Manhwa,NULL,713,6.88
Fukufuku Fu-nya~n: Koneko da Nyan,Manga,2,617,6.88
Itoshi no Goshujinsama,Manga,1,2809,6.88
Toto,Manga,2,396,6.88
Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!,Manga,2,2923,6.88
Yuri Moyou: Sakimiya 4 Shimai no Koi,Manga,2,1442,6.88
Ayaka-chan wa Hiroko-senpai ni Koishiteru,Manga,NULL,769,6.88
Maou no Hisho,Manga,NULL,3447,6.88
E.D.D: Eliminate Dangerous Doctors,Manga,5,539,6.88
Alice ∞ Wonderland,Manga,NULL,855,6.88
"Ichirei shite, Kiss",Manga,7,5602,6.88
RH Plus,Manga,4,504,6.88
Pochi,Manga,1,345,6.88
Maken-Ki!,Manga,24,17121,6.88
Transcension Academy,Manhwa,NULL,1693,6.88
Senran Kagura: Guren no Uroboros,Manga,3,1460,6.88
Ai no Jidai: Ichigoichie,Manga,1,305,6.88
Witch Watch,Manga,NULL,13920,6.88
Zutto Kimi no Turn,Manga,1,602,6.88
Tsukiyoda Sadame no Sekai no Sukuikata,Manga,2,959,6.88
Kanojo no Omoide...,Manga,1,2052,6.88
Platina,Manhwa,14,519,6.88
Oniyuri-san to Himeyuri-san,One-shot,NULL,895,6.88
Tenshi,Manga,1,634,6.88
Bashism,Manga,1,820,6.88
Ryuuma no Gagou,Manga,10,1445,6.88
Zense wa Kentei. Konjou Kuzu Ouji,Manga,NULL,2063,6.88
Wash Me Hug Me!,One-shot,NULL,577,6.88
#000000: Ultra Black,Manga,7,1822,6.88
Shooting Star Astromance,Manga,1,1276,6.88
Hyakuren no Haou to Seiyaku no Valkyria,Light-Novel,NULL,1499,6.88
Koi,One-shot,NULL,1030,6.88
Zero: Kage Miko,Manga,7,1701,6.88
Second Kiss,Manga,1,423,6.88
Absolute Duo,Manga,4,7982,6.88
Gunjou Reflection,Manga,5,880,6.88
Secret Playlist,Manhwa,NULL,1030,6.88
Kootetsu no Hana,Manga,1,559,6.88
"Sasen sareta Saikyou Kenja, Kyoushi ni Natte Muteki no Class wo Tsukuriageru",Manga,NULL,467,6.88
Jayne Walker,One-shot,NULL,197,6.88
Tende Freeze!,Manga,4,2884,6.88
One-of-a-Kind Romance,Manhwa,10,505,6.88
Kidou Senshi Z Gundam 1/2,Manga,1,307,6.88
Fushigi na Hito,Manga,1,775,6.88
Hells Angels,Manga,3,3132,6.88
Heureka,Manga,1,2855,6.88
Éclair: Anata ni Hibiku Yuri Anthology,Manga,NULL,4196,6.88
Astroid,Manga,NULL,1637,6.87
Kare to Kanojo no Chiguhagu,Manga,1,1737,6.87
Hensoku-kei Quadrangle,Manga,5,5002,6.87
"Hangah, Lee",Manhwa,7,995,6.87
Stigmata: Sekiren no Seija,Manga,3,3136,6.87
"""Oppai Momitai"" tte Sakendara, Imouto no Tomodachi to Tsukiau Koto ni Narimashita.",Manga,NULL,789,6.87
Clamp Gakuen Tanteidan,Manga,3,5353,6.87
Masaki no Pan,Manga,12,617,6.87
Gonensei,Manga,5,1132,6.87
Around 40 Otoko no Isekai Tsuuhan Seikatsu,Manga,NULL,1107,6.87
Tekken Chinmi Gaiden,Manga,NULL,438,6.87
"Watashi ni Karada, UtteminaiNULL",Manga,1,1618,6.87
Coral: Tenohira no Umi,Manga,5,478,6.87
Otogibanashi Battle Royal,Manga,NULL,1225,6.87
Realist Maou ni Yoru Seiikinaki Isekai Kaikaku,Manga,NULL,8912,6.87
Kakei no Alice,Manga,11,4672,6.87
Kon Kon KoKon,Manga,NULL,910,6.87
Odoru Respawn,Manga,NULL,831,6.87
Little Witch Academia,Manga,1,3688,6.87
Another Kingdom,Manga,2,1820,6.87
Robotics;Notes: Senomiya Misaki no Mihappyou Shuki,Manga,1,493,6.87
Kuroyuri-sou no Henna Ikimono.,Manga,2,512,6.87
Shinobi de Nai to!,One-shot,NULL,3297,6.87
One,Manhwa,11,855,6.87
F.O.X,Manhua,5,634,6.87
Dracu-Riot! Honey!,Manga,NULL,964,6.87
Soshite Koi ga Hajimaru,Manga,1,1429,6.87
Shisha no Teikoku,Manga,3,1463,6.87
Shima Shima,Manga,12,1057,6.87
Serena,Manhwa,NULL,693,6.87
"Last Boss, Yametemita: Shujinkou ni Taosareta Furishite Jiyuu ni Ikitemita",Manga,NULL,998,6.87
Gozen 3-ji no Kikenchitai,Manga,4,691,6.87
Boy & Cool,Manga,1,799,6.87
Elite Sama Koi Shiyou,Manga,1,1134,6.87
Love Laboratory,Manga,1,983,6.87
Rokudou Tousouki,Manga,4,1346,6.87
"Yuzukawa-san wa, Sasshite Hoshii.",Manga,4,4255,6.87
Ore x Yome - Cupid no Itazura,Manga,1,1813,6.87
Sekaiju no Meikyuu II: Rikka no Shoujo,Manga,2,401,6.87
Kimi to Itadakimasu,Manga,1,240,6.87
Cowa!,Manga,1,3042,6.87
Kimi wa Candy,Manga,1,383,6.87
14R,Manga,1,4445,6.87
Koko kara Saki wa NG!,Manga,3,3784,6.87
Blind Märchen,Manhwa,2,904,6.87
Pinocchio,Manga,1,399,6.87
Mitsubachi to Lemon Balm,Manga,2,611,6.87
Kamen Tantei,Manga,4,386,6.87
Ikemen Sengoku: Tenkabito no Onna ni Naru Ki wa Nai ka,Manga,4,631,6.87
Meiou-sama ga Tooru no desu yo! @comic,Manga,NULL,495,6.87
Gourmet Gaming,Manhwa,NULL,1914,6.87
Mimoza de Sarada,Manga,1,302,6.87
Boku no Adelia,Manga,3,783,6.87
The Hellbound,Manhwa,2,1771,6.87
"Uchiage Hanabi, Shita kara Miru kaNULL Yoko kara Miru kaNULL",Novel,1,656,6.87
Suugaku Golden,Manga,NULL,618,6.87
Date A Party,Manga,1,1070,6.87
Tensei Reijou wa Boukensha wo Kokorozasu,Manga,NULL,1428,6.87
Pocket Monsters Emerald: Chousen!! Battle Frontier,Manga,1,604,6.87
Hoshigami no Satsuki,One-shot,NULL,3195,6.87
Junkie Fiction,Manga,3,529,6.87
Planet Ladder,Manga,7,1069,6.87
Nandemo Arisa,One-shot,NULL,933,6.87
Shiny Doll,Manga,2,6572,6.87
My Wonderful Sweets,One-shot,NULL,1637,6.87
80's Video Trip,One-shot,NULL,260,6.87
Himitsu no Akuma-chan,Manga,3,10771,6.87
Unmei no Aite ga Yayakoshii!,Manga,2,365,6.87
Judge and Executioner,Manhwa,NULL,583,6.87
Necromanesque,Manga,3,628,6.87
Megami Kouhosei,Manga,5,2225,6.87
Relife Player,Manhwa,NULL,3751,6.87
Himitsu no Sono Ato,One-shot,NULL,1671,6.87
Rewriting the Villainess,Manhwa,NULL,1306,6.87
Kimi no Tame ni Sekai wa Aru,Manga,1,360,6.87
Shousha Man no Isekai Survival: Zettai Hito to wa Tsurumanee,Manga,NULL,602,6.87
Haunted House,Manga,1,1055,6.87
A Match Made in Mana,Manhwa,NULL,642,6.87
Pahanjip,Manhwa,6,433,6.87
Kaitou Joker,Manga,26,469,6.87
Alice kara Mahou,Manga,2,814,6.87
Saku-chan to Nozomi-kun,Manga,2,966,6.87
Toriyama Akira no Hetappi Manga Kenkyuusho,Manga,1,787,6.87
Sayonara demo Aishiteru,Manga,1,2124,6.87
Legend Hustle,Manhwa,6,847,6.87
Moukin-chan,Manga,5,720,6.87
"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",Manga,NULL,8224,6.87
Kämpfer,Manga,10,11334,6.87
Sayonara ga Chikai no de,One-shot,NULL,5718,6.87
Haridama Taima Juku,Manga,1,638,6.87
Kudamimi no Neko,Manga,NULL,2301,6.87
Black Yagi to Gekiyaku Madeleine,Manga,1,1367,6.87
Meroama Lecture,Manga,1,1257,6.87
Oukoku Monogatari,Manga,NULL,2709,6.87
Atashi no Pink ga Afurechau,Manga,6,1003,6.87
False Confession,Manhwa,NULL,1476,6.87
Mister Mermaid,Manga,1,946,6.87
Koi to Uso,Manga,13,53408,6.87
Koguresou Monogatari,Manga,1,1272,6.87
Manbou-chan to Lion-kun,Manga,1,306,6.87
Seifuku no Joou-sama,Manga,2,925,6.87
Keimusho no Naka,Manga,1,893,6.87
Devil,Manga,2,2753,6.87
Amaenaide yo!!,Manga,7,1364,6.87
The King of Fantasy: Yagami Iori no Isekai Musou - Tsuki wo Miru Tabi Omoidase!,Manga,NULL,435,6.87
Koukenryoku Ouryou Sousakan Nakabou Rintarou,Manga,2,531,6.87
Husk of Eden,Manga,4,1773,6.87
Kitsune to Atori,Manga,1,798,6.87
Marriage Royale,Manga,7,1262,6.87
Juushin Enbu,Manga,5,5165,6.87
Miman Renai dj - Summer Story,Doujinshi,1,609,6.87
Shigahime,Manga,5,11131,6.87
Unmei no Yoru ni,Manga,1,446,6.87
Nejishiki,Manga,1,1791,6.87
Hakuouki SSL,Manga,2,797,6.87
Iberis no Hanayome,Manga,2,392,6.87
Precious Daughter of the Greatest Martial Arts Villain,Manhwa,NULL,1443,6.87
Bakemono Recchan/Kinoko Takenoko: Asano Inio Tanpenshuu,Manga,1,12202,6.87
Dr. Prisoner,Manga,4,1451,6.87
Summer Switch,One-shot,NULL,1096,6.87
Zenbu Bukkowasu,Manga,6,666,6.87
Never Die Extra,Manhwa,NULL,974,6.87
Sansha Sanyou,Manga,14,971,6.87
Bokura no Himitsu.,Manga,2,782,6.87
In Bura!: Bishoujo Kyuuketsuki no Hazukashii Himitsu,Manga,2,13276,6.87
Harukaze Bitter☆Bop,Manga,4,646,6.87
Renai Log,Manga,1,790,6.87
Dogs dj - M.M.M. Works Annex feat. Bado Nails,Doujinshi,1,1100,6.87
The Evil Prince,One-shot,NULL,927,6.87
Penguin Musume,Manga,3,645,6.87
Kanojo ga Flag wo Oraretara,Light-Novel,16,1055,6.87
THE IDOLM@STER relations,Manga,2,469,6.87
His Devilish New Hire,Manhwa,NULL,423,6.87
"Toki Nazumi, Futari Nazumu.",Manga,1,327,6.87
Amarimawari,Manga,3,5438,6.87
Cupid no Itazura: Nijidama,Manga,7,1984,6.87
Adonis,Manhwa,NULL,1276,6.87
Interview with the Vampire,Manga,1,647,6.87
The Duke's Darling Daughter-in-Law,Manhwa,NULL,1153,6.87
Houjou Urara no Renai Shousetsu Okakinasai!,Manga,2,1188,6.87
Embalming II: Dead Body and Lover,One-shot,NULL,800,6.87
Sayonara Chocolate,Manga,1,322,6.87
Kimi no Uta ga Aru,Manga,3,587,6.86
Asahinagu,Manga,34,1993,6.86
Neon Genesis Evangelion: Campus Apocalypse,Manga,4,7578,6.86
Hatsuharu ga Saku,Manga,2,1079,6.86
Wallman,Manga,3,9449,6.86
Juuhime: Phantom Pain,Manga,6,743,6.86
Honoo no Ninjaman,Manga,4,313,6.86
Dakishimete! Noir,Manga,1,2694,6.86
The Boy of Death,Manhwa,NULL,1194,6.86
Billionaire Girl,Manga,3,10490,6.86
Don't Touch Me!,Manhwa,5,1495,6.86
Ever 17,Manga,2,768,6.86
Gokudou to Omega,Manga,NULL,583,6.86
Tsujimura-san wa Himitsu,One-shot,NULL,2063,6.86
Good Luck,Manhwa,5,2222,6.86
Danganronpa Gaiden: Killer Killer,Manga,3,9099,6.86
Akame,Manga,1,712,6.86
Onikiri-sama no Hakoiri Musume,Manga,4,1589,6.86
Himegami no Miko,Manga,3,798,6.86
Crimson Cross: Shi ga Futari wo Wakatsu made,Manga,1,1749,6.86
What It Means to Be You,Manhwa,NULL,1507,6.86
Ecstas Online,Light-Novel,8,735,6.86
Mister-sama ni wa Nakasarenai,Manga,1,243,6.86
Gin no Yuusha,Manga,5,485,6.86
Kishibe no Yume,One-shot,NULL,690,6.86
Asakura-ke no Hitobito,Manga,1,393,6.86
Lawless Kid,One-shot,NULL,1797,6.86
Fractale,Manga,3,1369,6.86
Mawaru Penguindrum,Manga,5,1446,6.86
Sabinuki Kanojo,Manga,1,4020,6.86
"Toshishita no Senpai-chan ni wa, Maketakunai.",Manga,1,517,6.86
Innocent W,Manga,3,677,6.86
Preferably My Prince,Manhwa,NULL,666,6.86
Osananajimi no Kao ga Yosugite Sakaraenai,Manga,1,369,6.86
Koi Furu Colorful: Zenbu Kimi to Hajimete,Manga,NULL,621,6.86
Ekimae Hanayome,Manga,1,1393,6.86
Senmu no Inu,Manga,1,660,6.86
Kusattemo Ani.,Manga,1,433,6.86
A-presto,Manga,3,409,6.86
Merry-Go-Round,Manga,1,301,6.86
Puku Yuri,Manga,1,1004,6.86
Hataraku Saibou Friend,Manga,6,1085,6.86
BlazBlue,Manga,2,817,6.86
Dokuhebi-san ni go-chuui wo,One-shot,NULL,821,6.86
Kidou Senshi Gundam: Zeon no Saiko,Manga,1,472,6.86
Car Graffiti JK,Manga,4,817,6.86
Tarareba,Manga,1,446,6.86
Kamachi Kazuma Toaru Majutsu no Index 10-shuunen: Shokuhou Misaki Figure-hen,Light-Novel,1,434,6.86
Midori no Ou,Manga,9,2429,6.86
Koyubi wa Amaku Sasayaku,One-shot,NULL,664,6.86
Bareteru! Cocktail Knight,Manga,3,1721,6.86
K2♥: Kill Me Kiss Me,Manhwa,5,5442,6.86
"Sensei ni, Ageru.",Manga,3,6640,6.86
My Roommate Is a Gumiho,Manhwa,NULL,510,6.86
Monster Duke's Daughter,Manhwa,NULL,1527,6.86
Arcana,Manhwa,11,1861,6.86
A Cat and a Bird,Manhwa,2,1020,6.86
Uranaishi no Nayamigoto,Manga,2,744,6.86
Neko to Watashi no Kinyoubi,Manga,11,3365,6.86
Koi no Rule wo Wasuretara,Manga,1,398,6.86
Kanojo to Camera to Kanojo no Kisetsu,Manga,5,1658,6.86
Watanuki-san ni wa Boku ga Tarinai,Manga,6,2969,6.86
Kacchu no Senshi Gamu!,Manga,2,405,6.86
Fortune Arterial: Character's Prelude,Manga,1,856,6.86
Shiba Occhan,Manga,1,609,6.86
Kao ga Nai Onnanoko,Manga,1,609,6.86
Tensei Ouji wa Renkinjutsushi to Nari Koukoku Suru,Manga,NULL,467,6.86
Bakudan! - Bakumatsu Danshi,Manga,6,787,6.86
Agmaui Sinbu Mandeulgi,Manhwa,5,1335,6.86
Kiki,Manga,1,538,6.86
Hakaishin Magu-chan,Manga,9,5357,6.86
Mitsuba Ouji to Ibara no Shukujo,One-shot,NULL,958,6.86
Monster Soul,Manga,2,9693,6.86
Teens Blues,Manga,1,515,6.86
Andromeda Stories,Manga,3,599,6.86
Fun Fun Factory,Manga,4,394,6.86
The Villainess's Days are Numbered!,Manhwa,NULL,1337,6.86
End Roll Back,Manga,3,832,6.86
Drug-On,Manga,5,3886,6.86
Channel Wonder,Manga,1,242,6.86
Zankoku na Douwatachi,Manga,1,2329,6.86
Datenshi ni Sasageru Uta dj - Family Visit,Doujinshi,1,534,6.86
Alice in Wonderland,Manga,1,1073,6.86
Real Lies,Manhwa,1,457,6.86
Onmyou Taisenki,Manga,3,409,6.86
The Tyrant's Only Perfumer,Manhwa,NULL,1511,6.86
Watashi no Cosmic Monster,Manga,2,1599,6.86
Mitsukoi Honey,Manga,1,2191,6.86
Honeymoon wa Anata to,Manga,1,329,6.86
Tokidoki Bosotto Russia-go de Dereru Tonari no Aalya-san,One-shot,NULL,614,6.86
Ruka to Ita Natsu,Manga,4,796,6.86
Arisa,Manga,4,514,6.86
Soukai no Eve,Manga,3,1403,6.86
Michikusa,Manga,1,616,6.86
Bitten Contract,Manhwa,NULL,634,6.86
Koisuru nante Kiitenai,Manga,1,1147,6.86
Sugar Kiss,Manga,1,500,6.86
Koroshiya-chan to Shinanai Target,Manga,2,828,6.86
Okiraku Ryoushu no Tanoshii Ryouchi Bouei,Manga,NULL,1465,6.86
What It Takes to Be a Villainess,Manhwa,NULL,2341,6.86
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,Manga,NULL,2229,6.86
Logick,Manga,5,1159,6.86
Watashi no Shiikugakari-kun,Manga,3,800,6.86
Osananajimi ga Mama sugite Tsurai,Manga,2,2679,6.86
Made in Honey,Manga,6,624,6.86
My School Life Pretending to Be a Worthless Person,Manhwa,NULL,4482,6.86
Hatsukoi Wazurai,Manga,1,9951,6.86
Ken-chan to Neko. Tokidoki Ahiru,Manga,1,327,6.86
Ni no Maeshii no Tsukaikata,Manga,3,698,6.86
Elf-san wa Yaserarenai.,Manga,8,18478,6.86
Naruto: Takigakure no Shitou Ore ga Hero dattebayo!,Light-Novel,1,1507,6.86
Shadows of Spawn,Manga,3,419,6.86
Lagoon Engine Einsatz,Manga,1,710,6.86
Devil Survivor 2: Show Your Free Will,Manga,2,2362,6.86
"Hana-chan to, Sekai no Katachi",Manga,1,613,6.86
Kimi ga Inakya Dame tte Itte,Manga,2,9123,6.86
Back to the Kaasan,Manga,3,2055,6.86
"Moto, Ochikobore Koushaku Reijou desu. The Comic",Manga,NULL,704,6.86
Ouja no Yuugi,Manga,6,438,6.86
Aka no Sekai,Manga,1,877,6.86
Lioncourt Senki,Manga,6,736,6.86
Isekai Kokka Alchimaira: Saijaku no Ou to Musou no Gunzei,Manga,NULL,627,6.86
Hatsukoi - Host,Manga,1,1290,6.86
Seitokai ni mo Ana wa Aru!,Manga,NULL,866,6.86
Koishite Nanbo!,Manga,1,1536,6.86
Yosame Hakuro wa Korosenai,One-shot,NULL,226,6.86
Evangel,Manga,1,551,6.86
Hentai Ouji to Warawanai Neko. Nya!,Manga,1,912,6.86
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,Light-Novel,15,1273,6.86
99% Love,One-shot,NULL,6644,6.86
Isekai Craft-gurashi: Jiyuu Kimama na Seisanshoku no Honobono Slow Life,Manga,NULL,952,6.86
Black★Rock Shooter: The Game,Manga,2,4339,6.86
"Omiai Aite wa Oshiego, Tsuyoki na, Mondaiji.",Manga,5,911,6.86
Saikyou Koibana: Sweet & Erotic Best 5,Manga,1,5039,6.86
Succubus & Hitman,Manga,NULL,7611,6.86
"Kira Kira Namida: Koishiteta, Aishiteta",One-shot,NULL,1190,6.86
Suashi ni Kiss Shite!,Manga,1,743,6.86
Nine Ten!,One-shot,NULL,501,6.86
Oto x Maho,Manga,4,1852,6.86
Black Blood Brothers ver.C,Manga,1,1367,6.86
Karesen Joshikousei to Tokikake Ojisan,Manga,2,465,6.86
Shitateya Koubou,Manga,13,592,6.86
Nasu,Manga,3,674,6.86
Kafka,Manga,1,799,6.86
Majo no Complex,One-shot,NULL,640,6.86
I Have Max Level Luck,Manhwa,NULL,662,6.86
Sensor,Manga,1,7270,6.85
Chou no Ito,One-shot,NULL,538,6.85
Crime Crime: Hard Luck Woman,One-shot,NULL,634,6.85
Attacker You!,Manga,3,482,6.85
Mistaken Lover,Manhwa,NULL,473,6.85
R-18 Love Report!,Manga,4,3558,6.85
Housekeeper,Manhwa,NULL,532,6.85
Onikirimaru,Manga,20,565,6.85
Kurumi-tic☆Miracle,Manga,1,471,6.85
Kouishou Radio,Manga,NULL,13682,6.85
Rookie Chef with the Magic Touch,Manhwa,NULL,495,6.85
1/3 Romantica,Manga,1,4306,6.85
NieA Under 7,Manga,2,1557,6.85
Dominion,Manga,1,2429,6.85
Orenchi ni Kita Onna Kishi to Inakagurashi suru Koto ni Natta Ken,Manga,NULL,6890,6.85
"Gyakkou shita Akuyaku Reijou wa, Nazeka Maryoku wo Ushinatta node Shinsou no Reijou ni Narimasu",Manga,NULL,705,6.85
Siscon Ani to Brocon Imouto ga Shoujiki ni Nattara,Manga,4,12739,6.85
Omae no Gohoushi wa Sono Teido kaNULL,Manga,NULL,667,6.85
Mai-HiME,Manga,5,7034,6.85
Shichifuku Mafia,Manga,3,704,6.85
Kagami no Mukou no Saihate Toshokan: Hikari no Yuusha to Itsuwari no Maou,Manga,2,857,6.85
Your Ultimate Love Rival,Manhwa,NULL,1303,6.85
Ouji ka Prince,Manga,3,2761,6.85
Jishou! Heibon Mazoku no Eiyuu Life: B-kyuu Mazoku nanoni Cheat Dungeon wo Tsukutteshimatta Kekka,Light-Novel,NULL,933,6.85
Yu☆Gi☆Oh! Zexal,Manga,9,2889,6.85
13th Boy,Manhwa,12,970,6.85
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,Manga,NULL,3797,6.85
Dokumushi Kozou,Manga,1,1896,6.85
Classmate wa Ore no Yome!,Manga,NULL,1439,6.85
Pure Marionation,Manga,2,603,6.85
Esoragoto Note,Manga,1,1410,6.85
Hatsune Miku no Shoushitsu,Light-Novel,1,720,6.85
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: Other School Days,Manga,1,668,6.85
Hajime Love Comedy: Oga-Bebe,Manga,5,926,6.85
Seishun Pop!,Manga,6,13773,6.85
"[Rouhou] Ore no Iinazuke ni Natta Jimiko, Ie dewa Kawaii shika Nai.",Manga,NULL,1580,6.85
Want You,Manhwa,10,482,6.85
Real Kiss,Manga,1,1323,6.85
Tsutaeru Toiki,Manga,1,421,6.85
